School_ID,School_Name,Spot1_Name,Spot1_Contentful_Id,Matching_Type,Distance_in_KM,Spot2_Name,Spot2_Contentful_Id,Matching_Type,Distance_in_KM,Spot3_Name,Spot3_Contentful_Id,Matching_Type,Distance_in_KM
1ssnMQGR0vrwMYtbLRqdOI,Zsurf Kite,"La Loteta, Spain",1qeB3WGyYkzCTV28J1iD8D,Distance less than 100km,0.932583994,,,,,,,,
1aA3HyM6UbW33Z5OJtGoDU,JP Kiteboarding,"Las Americas, Colombia",2ejeV6ap6vFu7j3EXHvlIs,Distance less than 100km,8.199557089,"Castillogrande, Colombia",2DHqkEtcDwD0DzoJwoHF7X,Distance less than 100km,8.411195965,"Bocagrande, Colombia",1lh2NFrmr0yDzfIgOJCWNd,Distance less than 100km,8.702498402
UKx3OUZgenasgMUq1jWG7,In The Open,"Cap Est, Martinique",PxFTKaNliU0zOFudRbZmU,Distance less than 100km,0.205917213,"Ilet Long, Martinique",1VCziG0NtbnmLVWKqjiapP,Distance less than 100km,2.477513759,"La Pointe Faula, Martinique",4xDqsC1yWvZ0pBW8rhIMsR,Distance less than 100km,4.229928738
5yOc6zdkhUCOAakc2ya6Gy,Kitewise,"Sherwood Island State Park, Connecticut (USA)",1cbymmvagqyTJPzmCw2DFW,Distance less than 100km,30.2232853,"Jennings Beach, Connecticut (USA)",3ZP9t762NJLdYmFUugDzbk,Distance less than 100km,30.29068507,"Calf Pasture Beach, Connecticut (USA)",7Hh4OJuy2i1MNytMp0VY35,Distance less than 100km,32.2109259
49OtRdTzwT9S3Z2zjFzBPO,Fore?Òo Escuela de Kitesurf,"Sanlucar de Barrameda, Spain",157dYggpClP43kqU3PchJD,Distance less than 100km,1.706348916,"Chipiona, Spain",2DaNNyad914547Jgne9caJ,Distance less than 100km,6.842885898,"La Ballena, Spain",4Nhrf4Vdol2cW3vmSpnCUd,Distance less than 100km,9.815421842
1d4t6SzOaE68iscA2EyGQC,Zeestock Kitesurfing,"Zandvoort aan Zee, Netherlands",jU2NZmBx3SlWxU4be7bun,Distance less than 100km,0.663675911,"Bloemendaal aan Zee, Netherlands",3KPMR0GfGYToPFBnwj8L80,Distance less than 100km,5.405902442,"Ijmuiden, Netherlands",12rZ1llHXY2HjtnG8owEql,Distance less than 100km,9.721206564
374Xx7kSlmHHNG4pCUC1oP,Airzone Kite School UK,"Hill Head, England (UK)",6g1Ii3VCQMkASHeqmQGGgc,Distance less than 100km,2.678420687,"Calshot, England (UK)",3bpo72uXKFywe5h9ZBsdmw,Distance less than 100km,6.706706938,"Isle of Wight / Appley, England (UK)",2TkDOuBQR1S8pknfMEGbkc,Distance less than 100km,12.92081665
3oJNgc3dPOnwD0Ot7i0fEa,Massif Kite Evasion,"Cap Chevalier, Martinique",774gLukuwZhbUJKdylrd7y,Distance less than 100km,5.798292163,"Petit and Grand Macabou, Martinique",6PGpLNte0dYvE4KJjrqRja,Distance less than 100km,5.825990711,"Anse Trabaud, Martinique",3u6kdRIo9uWJLCvnW9145s,Distance less than 100km,7.245494441
1pA82xn6NyyyyOAimyi0WO,Wind Over Water Kiteboarding,"Coyote Point, California (USA)",1q21foH7VmveLUmsUr7Xf8,Distance less than 100km,9.444413222,"3rd Ave, California (USA)",46turIjw4Ap16hV7eCdmEr,Distance less than 100km,13.31613711,"Alameda Beach, California (USA)",4LY9XzrDnDd8eAQPBhUaDu,Distance less than 100km,14.47887198
5gXHE08GZOU8yyCO2GOeIE,Ocean Extreme Sports,"Saint Augustine Beach, Florida (USA)",6XexSCZxW1lItZBUsQjj3c,Distance less than 100km,0.634561999,"Saint Augustine 16th Street, Florida (USA)",31KQlAUZfauwvkvlC9SEC7,Distance less than 100km,1.387291349,"Ocean Trace, Florida (USA)",1DzVHzTpaDOseJzfMCc2Dx,Distance less than 100km,2.560219209
2zdultJvhWUsiEekCAOIYg,Escoladekitesurf,"Gaia-Canidelo, Portugal",2v9JSywWFeWiwpNrYjEWzS,Distance less than 100km,3.047183781,"Cabedelo Porto / Foz do Douro, Portugal",5WEVuQ7hjpSvSTALyHbzXB,Distance less than 100km,5.720833872,"Espinho, Portugal",KnNgCa0y2oE5JRIz9R7x7,Distance less than 100km,9.704528749
