ID,NAME,SLUG,LAT,LON
6QcR2Z0UgUy7QKFeQ4qlPv,Kitesurfing.at,kitesurfing-at,47.86732,16.83367
5QWm3OhTR2ZZpupHPW1UKp,Kitesurf Tonga,kitesurf-tonga,-19.8472,-174.404
21du6XpUXiQHyXP4Q0z6zj,Singapore Kiteboarding,singapore-kiteboarding,1.345217,103.8649
4uRIoYjBg1JOE0dA4c5bH9,Constant Wind,constant-wind,1.316111,103.9775
5w0IXeosfSbbodgio6wCMG,Chogogo Kiteschool,chogogo-kiteschool,12.14434,-68.2655
2kfMuHyjbOGD5iN8Y9z1Pn,Kiteboarding Bonaire,kiteboarding-bonaire,12.07674,-68.2798
7M9xG4BycZ93cDq16KTTvd,Bonaire Kiteschool,bonaire-kiteschool,12.07646,-68.2798
6P763IyMEtSToqI8pMYmjH,Kiteboarding Jamaica,kiteboarding-jamaica,18.51225,-77.7477
SEK8DzyycWOE9cKucFcwQ,Kalufa Surf,kalufa-surf,29.10848,-13.6653
CHlkkqATmXs0vbdaMjmie,Scubalife,scubalife,26.29265,50.65997
15kctu8gNWwipjeMNiNGib,Jeddah Kitesurfing School Super Kite Day,jeddah-kitesurfing-school-super-kite-day,21.42289,39.32507
pX5DwT9lfTXtuZ9m8xiuA,Exuma Kitesurfing,exuma-kitesurfing,23.60213,-75.8952
AfrIAloyEUFohZbtv4Lo3,San Salvador Kitesurfing,san-salvador-kitesurfing,23.94625,-74.5016
4r91z51619IoSQIPfSraVs,Big Blue Kiteboarding School,big-blue-kiteboarding-school,21.77084,-72.1639
4jt9GahU35iKFlSMJnmkjw,Kitesurf TCI,kitesurf-tci,21.77084,-72.1639
1uMUDbf7F6lCvSf21THvje,KiteProvo Kiteboarding school,kiteprovo-kiteboarding-school,21.79391,-72.1513
5C1lsGPP5hzs2VSFo8Jz1E,Turks and Caicos Kiteboarding School,turks-and-caicos-kiteboarding-school,21.77084,-72.1639
1bxeJmBDtUyWeqAweoqKCM,Kite camp Istria,kitecampistria,44.82781139999999,13.9572036
6283vUr2eV6cf3aSAQmyFq,D&D Kiteboarding,d-and-d-kiteboarding,44.27694,28.62161
1PB898QVgOIACv8unO6KyD,AKA Kiteboarding,aka-kiteboarding,44.27694,28.62161
PMAjLxMltBeIlT4XmUKbW,Salty Sports,salty-sports,28.66911,48.36888
2n6t681JtO0ZbfXdqRNgUC,Cap Skirring Le Papayer Ecolodge,cap-skirring-le-papayer-ecolodge,12.43546,-16.7817
4vBf0CqimQUSm62aaoEoWo,Gingery Kite lessons kitesurfing,candykites,28.04668,34.42256
1j1vecFbZGEI8SaAmgACQk,Mozambique Kitesurfing School,mozambiquekitesurfing,-25.9370739,32.626681500000004
6vNJjmo4HmEOoc4qsGMMyI,Fildair,fildair,43.419779,3.601535999999999
1ECuiJ21nQ3ab5g7rg8eHa,ION Club Tarifa,ion-club-tarifa,36.06588199999999,-5.681498000000033
75NcB1BecvH8h7D4cFbSxi,4Elements Kiteboarding,4elements-kiteboarding,24.04968,-109.99
5TULjsnw4o0FSnsOjSNWCA,Ngwe Saung Yacht Club Resort,ngwe-saung-yacht-club-resort,16.80726,94.40163
3WmugU0aZDTQlE4w4rLkh6,KiteCo,kiteco,-31.8063087386358,-64.54149511108398
3aMEGMyp1S8SKcqGmweSKc,Kite Zone Club,kitezone-club-valencia,39.307387,-0.2951784
7EMrvlfHdqwJeKBjYGxDX3,Playa Central,playa-central,24.05334,-109.989
5UM9DjBB60mqQuIAgEaOWQ,Air Fly,airfly972,14.5456332,-60.83913039999999
60SNc8dsTmGq2ikOOUOsqm,Kiteboarding Cairns - KBC,kiteboardingcairns,-16.811141,145.726923
1j2h8XHuHuMKKUQWqkOAW0,Doctor Kite,doctorkite,36.61173410000001,-4.5174223
NhO8FJNV6064goWwcuwcY,BleuKite Essaouira,bleukite,31.503539,-9.7621016
2psnKjrbJCwEKiq4KwAoI,Adventure Sports Kitesurf,kitesurfaustralia,-26.4095652,153.0464242
32WASLXHyEmcgu2wEykkCO,Endless Kiteboarding,endlesskiteboarding,13.0501368,-59.51204629999999
4XytNqLzyUkKOs0G6628ki,Madinina Kitesurf,madinina-kitesurf,14.4408054,-60.8493059
3WIgyjMiyzYZkvbBwIzFcD,ZooPark Famara,zoopark-famara,29.1169767,-13.564411800000016
3lrwPal9uf16oODfR8IDBt,Valampuri Kite Resort,valampuri-kite-resort,8.248857,79.75777
6NL4oKC0d53Z3V9mkckA5l, TWKC Talamone Windsurfing Kite Center,twkc-talamone-windsurfing-kite-center,42.56269,11.14683100000002
5Mdy5FS1smsqwn6GZ1TRsA,Thalasea Kiteboarding Center Naxos,thalasea-kiteboarding-center-naxos,37.02623800000001,25.371194699999933
5l5tzW48HNBbydS0iKhjX3,Rye Watersports,rye-watersports,50.9481782,0.7552524999999832
3DaiSQs6XCLs3HNjCmDrYu,Pro Kite Club,pro-kite-club,37.8559911,12.47743969999999
FSqk2JAFw59ou7dWEjv0R,Osmosis Kiteboarding Club,osmosis-kiteboarding-club,27.385809677375498,33.68563675361554
3yMAX7mWPihBZMU3Xe9MhZ,Ocean Adventure Fuerteventura,ocean-adventure-fuerteventura,28.72362409999999,-13.866727200000014
1fNEvxisfXe257To9fGOXV,Kite School VKC,kite-school-vkc,46.11938809999999,12.352810699999964
BJXd2s42aI7USc4pCptez,Hangin Kitesurf & Kiteboard Center - Boracay,hangin-kitesurf-and-kiteboard-center-boracay,11.964903,121.92907000000002
2gDxzEUlVzIK6N5xVeCSxT,FIV Club Kiteseason,fiv-club-kiteseason,37.8559911,12.47743969999999
7CcXHUOtyj3qQuW6dFGQrz,Element Watersports,element-watersports,27.434940939000516,33.65981512742917
5Gj2WSK5pv8T6ZapVxR2CL,EASY SURF El Gouna,easy-surf-el-gouna,27.434695809596445,33.66019049250576
5HDwF1BhhAq8QxD6LoWSa3,Atlanticzin Watersports,atlanticzin_watersports,31.5056341,-9.762763800000016
6eGUjqWaRyos8oiAq0eo4a,Kite.se Swedens Kiteschool,kite-landskrona,55.68057,13.05932
iYISvDEyRi4A2iOCAMySQ,Kiteflip,kiteflip,9.6971916,100.0272024
2zaw5Itgg4QoOsiAoEWeY2,Tiki Center,tiki-center,43.4459039,3.7984063
20zjmIByVi0eWIEWwcA6YQ,Extreme Control Adventures,extremecontrol,21.51583,-87.6783
3WlWCfRrtegykqC82Gc26G,KiteLoop School,kiteloopschool,38.0169714,15.635350099999998
40Nlak437nIyaTD50orvka,Kook Proof Activity Center Portugal,kook-proof-activity-center-portugal,41.5286054,-8.7798004
roLNevs5FIKwU8kEwm4W2,Happy Kite,happy-kite,28.478101462078268,34.50277241790775
7Ji2daqMqQugc86AqIcsCA,Big Air Kite School,big-air-kiteschool,19.7509228,-70.4144209
6j7d0zxoGsoGsM8UkUSMOe,KiteSwiss,kiteswiss,47.3668951,8.5204297
